Region,Date,Confirmed,Active,Deaths,Recovered
Punjab,2020-02-26,0,0,0,0
Punjab,2020-02-27,0,0,0,0
Punjab,2020-02-28,0,0,0,0
Punjab,2020-02-29,0,0,0,0
Punjab,2020-03-01,0,0,0,0
Punjab,2020-03-02,0,0,0,0
Punjab,2020-03-03,0,0,0,0
Punjab,2020-03-04,0,0,0,0
Punjab,2020-03-05,0,0,0,0
Punjab,2020-03-06,0,0,0,0
Punjab,2020-03-07,0,0,0,0
Punjab,2020-03-08,0,0,0,0
Punjab,2020-03-09,0,0,0,0
Punjab,2020-03-10,0,0,0,0
Punjab,2020-03-11,0,0,0,0
Punjab,2020-03-12,0,0,0,0
Punjab,2020-03-13,0,0,0,0
Punjab,2020-03-14,0,0,0,0
Punjab,2020-03-15,1,1,0,0
Punjab,2020-03-16,1,1,0,0
Punjab,2020-03-17,26,26,0,0
Punjab,2020-03-18,33,33,0,0
Punjab,2020-03-19,83,83,0,0
Punjab,2020-03-20,104,104,0,0
Punjab,2020-03-21,152,152,0,0
Punjab,2020-03-22,225,225,0,0
Punjab,2020-03-23,249,249,0,0
Punjab,2020-03-24,296,292,1,3
Punjab,2020-03-25,323,318,2,3
Punjab,2020-03-26,408,402,3,3
Punjab,2020-03-27,425,418,4,3
