Region,Date,Confirmed,Active,Deaths,Recovered
KPK,2020-02-26,0,0,0,0
KPK,2020-02-27,0,0,0,0
KPK,2020-02-28,0,0,0,0
KPK,2020-02-29,0,0,0,0
KPK,2020-03-01,0,0,0,0
KPK,2020-03-02,0,0,0,0
KPK,2020-03-03,0,0,0,0
KPK,2020-03-04,0,0,0,0
KPK,2020-03-05,0,0,0,0
KPK,2020-03-06,0,0,0,0
KPK,2020-03-07,0,0,0,0
KPK,2020-03-08,0,0,0,0
KPK,2020-03-09,0,0,0,0
KPK,2020-03-10,0,0,0,0
KPK,2020-03-11,0,0,0,0
KPK,2020-03-12,0,0,0,0
KPK,2020-03-13,0,0,0,0
KPK,2020-03-14,0,0,0,0
KPK,2020-03-15,0,0,0,0
KPK,2020-03-16,15,15,0,0
KPK,2020-03-17,17,17,0,0
KPK,2020-03-18,19,17,2,0
KPK,2020-03-19,23,21,2,0
KPK,2020-03-20,27,25,2,0
KPK,2020-03-21,31,29,2,0
KPK,2020-03-22,31,28,3,0
KPK,2020-03-23,38,35,3,0
KPK,2020-03-24,78,75,3,0
KPK,2020-03-25,121,116,3,2
KPK,2020-03-26,147,142,3,2
KPK,2020-03-27,180,175,3,2
