Region,Date,Confirmed,Active,Deaths,Recovered
ICT,2020-02-26,,,0,0
ICT,2020-02-27,,,0,0
ICT,2020-02-28,,,0,0
ICT,2020-02-29,,,0,0
ICT,2020-03-01,,,0,0
ICT,2020-03-02,,,0,0
ICT,2020-03-03,,,0,0
ICT,2020-03-04,,,0,0
ICT,2020-03-05,,,0,0
ICT,2020-03-06,,,0,0
ICT,2020-03-07,,,0,0
ICT,2020-03-08,,,0,0
ICT,2020-03-09,,,0,0
ICT,2020-03-10,2,2,0,0
ICT,2020-03-11,2,2,0,0
ICT,2020-03-12,2,2,0,0
ICT,2020-03-13,3,3,0,0
ICT,2020-03-14,4,4,0,0
ICT,2020-03-15,4,4,0,0
ICT,2020-03-16,4,3,0,1
ICT,2020-03-17,5,4,0,1
ICT,2020-03-18,5,3,0,2
ICT,2020-03-19,10,8,0,2
ICT,2020-03-20,10,8,0,2
ICT,2020-03-21,11,9,0,2
ICT,2020-03-22,15,13,0,2
ICT,2020-03-23,15,13,0,2
ICT,2020-03-24,16,14,0,2
ICT,2020-03-25,25,23,0,2
ICT,2020-03-26,27,25,0,2
ICT,2020-03-27,27,25,0,2
