Date,Confirmed,Active,Deaths,Recovered
2020-02-26,,,0,0
2020-02-27,,,0,0
2020-02-28,,,0,0
2020-02-29,,,0,0
2020-03-01,,,0,0
2020-03-02,,,0,0
2020-03-03,,,0,0
2020-03-04,,,0,0
2020-03-05,,,0,0
2020-03-06,,,0,0
2020-03-07,,,0,0
2020-03-08,,,0,0
2020-03-09,,,0,0
2020-03-10,2,2,0,0
2020-03-11,3,3,0,0
2020-03-12,3,3,0,0
2020-03-13,3,3,0,0
2020-03-14,3,3,0,0
2020-03-15,3,3,0,0
2020-03-16,3,3,0,0
2020-03-17,3,3,0,0
2020-03-18,13,13,0,0
2020-03-19,21,21,0,0
2020-03-20,30,30,0,0
2020-03-21,55,55,0,0
2020-03-22,71,70,1,0
2020-03-23,80,79,1,0
2020-03-24,81,70,1,0
2020-03-25,84,83,1,0
2020-03-26,91,88,1,2
