Date,Confirmed,Active,Deaths,Recovered
2020-02-26,,,0,0
2020-02-27,,,0,0
2020-02-28,,,0,0
2020-02-29,,,0,0
2020-03-01,,,0,0
2020-03-02,,,0,0
2020-03-03,,,0,0
2020-03-04,,,0,0
2020-03-05,,,0,0
2020-03-06,,,0,0
2020-03-07,,,0,0
2020-03-08,,,0,0
2020-03-09,,,0,0
2020-03-10,1,1,0,0
2020-03-11,1,1,0,0
2020-03-12,1,1,0,0
2020-03-13,6,6,0,0
2020-03-14,6,6,0,0
2020-03-15,11,11,0,0
2020-03-16,14,14,0,0
2020-03-17,15,15,0,0
2020-03-18,23,23,0,0
2020-03-19,81,81,0,0
2020-03-20,103,103,0,0
2020-03-21,104,104,0,0
2020-03-22,108,107,1,0
2020-03-23,110,109,1,0
2020-03-24,115,114,1,0
2020-03-25,131,130,1,0
2020-03-26,131,130,1,0
